"","Dispatching_base_num","numOutput","year","month","day","hour","Borough","Zone","ZipCode","Date","TemperatureF","Preci","Events"
"112","B02512",49,2015,1,5,15,"Manhattan","Upper West Side South","10024","2015/1/5 15:51",33.1,"N/A",""
"113","B02512",56,2015,1,5,16,"Manhattan","West Chelsea/Hudson Yards","10014","2015/1/5 16:51",32,"N/A",""
"114","B02512",87,2015,1,5,17,"Manhattan","Lincoln Square East","10023","2015/1/5 17:51",30,"N/A",""
"115","B02512",96,2015,1,5,18,"Manhattan","Garment District","10018","2015/1/5 18:51",28.9,"N/A",""
"116","B02512",101,2015,1,5,19,"Manhattan","Gramercy","10017","2015/1/5 19:51",27,"N/A",""
"117","B02512",70,2015,1,5,20,"Bronx","Fordham South","10458","2015/1/5 20:51",25,"N/A",""
"118","B02512",62,2015,1,5,21,"Manhattan","Greenwich Village North","10014","2015/1/5 21:51",23,"N/A",""
"119","B02512",56,2015,1,5,22,"Brooklyn","Prospect Heights","11238","2015/1/5 22:51",21.9,"N/A",""
"120","B02512",44,2015,1,5,23,"Manhattan","Kips Bay","10016","2015/1/5 23:51",21.9,"N/A",""
"121","B02512",28,2015,1,6,0,"Manhattan","Midtown Center","10176","2015/1/6 0:51",21,"N/A",""
"122","B02512",13,2015,1,6,1,"Manhattan","Manhattan Valley","10025","2015/1/6 1:51",19.9,"N/A",""
"123","B02512",5,2015,1,6,2,"Manhattan","Meatpacking/West Village West","10013","2015/1/6 2:51",19.9,"N/A",""
"124","B02512",6,2015,1,6,3,"Manhattan","Washington Heights South","10032","2015/1/6 3:51",19.9,"N/A",""
"125","B02512",6,2015,1,6,4,"Manhattan","Battery Park City","10080","2015/1/6 4:51",19.9,"N/A",""
"126","B02512",7,2015,1,6,5,"Manhattan","Clinton West","10019","2015/1/6 5:51",19,"N/A",""
"127","B02512",26,2015,1,6,6,"Bronx","Bronxdale","10462","2015/1/6 6:51",19.9,"N/A",""
"128","B02512",44,2015,1,6,7,"Queens","Astoria","11102","2015/1/6 7:51",19.9,"N/A",""
"129","B02512",204,2015,1,6,8,"Manhattan","Battery Park City","10080","2015/1/6 8:51",19,"0","Snow"
"130","B02512",156,2015,1,6,9,"Manhattan","Garment District","10018","2015/1/6 9:51",19,"0.02","Snow"
"131","B02512",192,2015,1,6,10,"Manhattan","Clinton West","10019","2015/1/6 10:51",19.9,"0.02","Snow"
"132","B02512",165,2015,1,6,11,"Manhattan","Midtown Center","10176","2015/1/6 11:51",19.9,"0.01","Snow"
"133","B02512",165,2015,1,6,12,"Manhattan","Lincoln Square West","10023","2015/1/6 12:51",21,"0","Snow"
"134","B02512",188,2015,1,6,13,"Manhattan","Gramercy","10017","2015/1/6 13:01",21,"0","Snow"
"135","B02512",147,2015,1,6,14,"Manhattan","Central Park","10019","2015/1/6 14:51",21.9,"N/A",""
"136","B02512",72,2015,1,6,15,"Manhattan","Upper East Side South","10075","2015/1/6 15:51",21,"N/A",""
"137","B02512",87,2015,1,6,16,"Manhattan","Lenox Hill East","10065","2015/1/6 16:51",21,"N/A",""
"138","B02512",214,2015,1,6,17,"Manhattan","TriBeCa/Civic Center","11201","2015/1/6 17:48",21.2,"N/A",""
"139","B02512",258,2015,1,6,18,"Manhattan","Lincoln Square East","10023","2015/1/6 18:51",21,"N/A",""
"140","B02512",116,2015,1,6,19,"Manhattan","Midtown South","10036","2015/1/6 19:51",21,"N/A",""
"141","B02512",110,2015,1,6,20,"Queens","LaGuardia Airport","11371","2015/1/6 20:51",21,"N/A",""
"142","B02512",89,2015,1,6,21,"Manhattan","Midtown South","10036","2015/1/6 21:51",21,"N/A",""
"143","B02512",64,2015,1,6,22,"Manhattan","Midtown East","10022","2015/1/6 22:51",21,"N/A",""
"144","B02512",56,2015,1,6,23,"Manhattan","Times Sq/Theatre District","10036","2015/1/6 23:51",19.9,"N/A",""
"145","B02512",29,2015,1,7,0,"Manhattan","Upper East Side South","10075","2015/1/7 0:51",19.9,"N/A",""
"146","B02512",8,2015,1,7,1,"Manhattan","Midtown South","10036","2015/1/7 1:51",19.9,"N/A",""
"147","B02512",5,2015,1,7,2,"Brooklyn","Williamsburg (South Side)","11211","2015/1/7 2:51",19.9,"N/A",""
"148","B02512",7,2015,1,7,3,"Brooklyn","Prospect Heights","11238","2015/1/7 3:51",21,"N/A",""
"149","B02512",6,2015,1,7,4,"Manhattan","East Village","10009","2015/1/7 4:51",21.9,"N/A",""
"150","B02512",10,2015,1,7,5,"Queens","Forest Hills","11375","2015/1/7 5:51",21,"N/A",""
"151","B02512",24,2015,1,7,6,"Manhattan","Lincoln Square West","10023","2015/1/7 6:51",21,"N/A",""
"152","B02512",38,2015,1,7,7,"Brooklyn","Sunset Park West","11220","2015/1/7 7:51",21,"N/A",""
"153","B02512",77,2015,1,7,8,"Brooklyn","Stuyvesant Heights","11221","2015/1/7 8:51",21,"N/A",""
"154","B02512",72,2015,1,7,9,"Brooklyn","Brooklyn Heights","11201","2015/1/7 9:51",21.9,"N/A",""
"155","B02512",63,2015,1,7,10,"Manhattan","World Trade Center","10006","2015/1/7 10:51",23,"N/A",""
"156","B02512",58,2015,1,7,11,"Manhattan","Midtown North","10036","2015/1/7 11:51",23,"N/A",""
"157","B02512",73,2015,1,7,12,"Manhattan","Seaport","10038","2015/1/7 12:51",21.9,"N/A",""
"158","B02512",51,2015,1,7,13,"Manhattan","Midtown Center","10176","2015/1/7 13:51",23,"N/A",""
"159","B02512",65,2015,1,7,14,"Manhattan","UN/Turtle Bay South","10017","2015/1/7 14:51",21.9,"N/A",""
"160","B02512",69,2015,1,7,15,"Manhattan","Upper West Side South","10024","2015/1/7 15:51",21,"N/A",""
"161","B02512",83,2015,1,7,16,"Manhattan","West Village","10014","2015/1/7 16:51",19,"N/A",""
"162","B02512",111,2015,1,7,17,"Manhattan","Flatiron","10010","2015/1/7 17:51",17.1,"N/A",""
"163","B02512",142,2015,1,7,18,"Manhattan","Garment District","10018","2015/1/7 18:51",15.1,"N/A",""
"164","B02512",129,2015,1,7,19,"Queens","Long Island City/Hunters Point","11101","2015/1/7 19:51",12,"N/A",""
"165","B02512",114,2015,1,7,20,"Manhattan","Flatiron","10010","2015/1/7 20:51",10.9,"N/A",""
"166","B02512",130,2015,1,7,21,"Manhattan","Murray Hill","10016","2015/1/7 21:51",10,"N/A",""
"167","B02512",111,2015,1,7,22,"Manhattan","Hudson Sq","10013","2015/1/7 22:51",10,"N/A",""
"168","B02512",57,2015,1,7,23,"Manhattan","Penn Station/Madison Sq West","10001","2015/1/7 23:51",9,"N/A",""
"169","B02512",31,2015,1,8,0,"Manhattan","Little Italy/NoLiTa","10012","2015/1/8 0:51",9,"N/A",""
"170","B02512",16,2015,1,8,1,"Brooklyn","Bedford","11216","2015/1/8 1:51",8.1,"N/A",""
"171","B02512",10,2015,1,8,2,"Manhattan","Clinton East","10019","2015/1/8 2:51",8.1,"N/A",""
"172","B02512",3,2015,1,8,3,"Manhattan","Flatiron","10010","2015/1/8 3:51",8.1,"N/A",""
"173","B02512",4,2015,1,8,4,"Brooklyn","Crown Heights North","11213","2015/1/8 4:51",8.1,"N/A",""
"174","B02512",7,2015,1,8,5,"Manhattan","Midtown East","10022","2015/1/8 5:51",9,"N/A",""
